Year,Landings(MT),Source
1893,41372,Williamson
1894,42118,Williamson
1895,40012,Williamson
1896,39033,Williamson
1897,42662,Williamson
1898,46010,Williamson
1899,33823,Williamson
1900,35074,Williamson
1901,33005,Williamson
1902,30973,Williamson
1903,32181,Williamson
1904,33985,Williamson
1905,33644,Williamson
1906,30179,Williamson
1907,31261,Williamson
1908,32276,Williamson
1909,27654,Williamson
1910,27033,Williamson
1911,29704,Williamson
1912,27910,Williamson
1913,25065,Williamson
1914,19694,Williamson
1915,20825,Williamson
1916,22604,Williamson
1917,22565,Williamson
1918,12453,Williamson
1919,16598,Williamson
1920,19604,Williamson
1921,18739,Williamson
1922,17399,Williamson
1923,17893,Williamson
1924,12691,Williamson
1925,15462,Williamson
1926,15403,Williamson
1927,14371,Williamson
1928,16724,Williamson
1929,18163,Williamson
1930,19561,Williamson
1931,20849,Williamson
1932,22837,Williamson
1933,17819,Williamson
1934,17137,Williamson
1935,15610,Williamson
1936,14901,Williamson
1937,15936,Williamson
1938,16022,Williamson
1939,15521,Williamson
1940,13372,Williamson
1941,13689,Williamson
1942,13681,Williamson
1943,14518,Williamson
1944,15852,Williamson
1945,18324,Williamson
1946,18642,Williamson
1947,16006,Williamson
1948,17856,Williamson
1949,19615,Williamson
1950,22565,Williamson
1951,22631,Williamson
1952,21708,Williamson
1953,21045,Williamson
1954,21171,Williamson
1955,22031,Williamson
1956,23573,Williamson
1957,20157,Williamson
1958,19481,Williamson
1959,20722,Williamson
1960,22698,Williamson
1961,21546,Williamson
1962,20991,Williamson
1963,20095,Williamson
1964,18981,Williamson
1965,18366,Williamson
1966,16872,Williamson
1967,15905,Williamson
1968,16882,Williamson
1969,18157,Williamson
1970,16553,Williamson
1971,17210,Williamson
1972,14871,Williamson
1973,16093,Williamson
1974,14291,Williamson
1975,17498,Williamson
1976,16082,Williamson
1977,17832,Williamson
1978,19177,Williamson
1979,21577,Williamson
1980,20089,Williamson
1981,21695,Williamson
1982,22793,Williamson
1983,27655,Williamson
1984,28698,Williamson
1985,32639,Williamson
1986,38023,Williamson
1987,39557,Williamson
1988,40570,Williamson
1989,43537,Williamson
1990,47853,DFO website
1991,48450,DFO website
1992,41944,DFO website
1993,41061,DFO website
1994,41541,DFO website
1995,41120,DFO website
1996,39934,DFO website
1997,40079,DFO website
1998,41186,DFO website
1999,44777,DFO website
2000,45511,DFO website
2001,52123,DFO website
2002,48940,DFO website
2003,49837,DFO website
2004,47479,DFO website
2005,51616,DFO website
2006,55008,DFO website
2007,48870,DFO website
2008,58984,DFO website
2009,58342,DFO website
2010,67277,DFO website
2011,66978,DFO website
2012,74790,DFO website
2013,74686,DFO website
2014,92779,DFO website
2015,90875,DFO website
2016,90624,DFO website
2017,97452,DFO website
2018,97381,DFO website
2019,103917,DFO website
2020,68070,DFO website
